Year,Highest level of qualification,Percentage with this level of qualification,Sample size
2021,Higher education above degree,41.47,8078
2021,Further education below degree,8.65,1681
2021,A level and equivalent,23.43,4128
2021,"O level, GCSE and equivalent",12.95,2319
2021,Lower level (below CSE grade 1),13.49,2010
2020,Higher education above degree,38.91,6136
2020,Further education below degree,9.25,1444
2020,A level and equivalent,24.53,3558
2020,"O level, GCSE and equivalent",13.22,1960
2020,Lower level (below CSE grade 1),14.09,1724
2019,Higher education above degree,36,7251
2019,Further education below degree,9.3,1972
2019,A level and equivalent,25.06,5098
2019,"O level, GCSE and equivalent",13.73,2823
2019,Lower level (below CSE grade 1),15.92,3073
2018,Higher education above degree,35.14,7077
2018,Further education below degree,9.2,1933
2018,A level and equivalent,25.09,5097
2018,"O level, GCSE and equivalent",14.76,3010
2018,Lower level (below CSE grade 1),15.8,3122
2017,Higher education above degree,34.28,7065
2017,Further education below degree,9.92,2103
2017,A level and equivalent,25.32,5201
2017,"O level, GCSE and equivalent",14.68,3036
2017,Lower level (below CSE grade 1),15.8,3214
2016,Higher education above degree,33.31,6939
2016,Further education below degree,10.02,2154
2016,A level and equivalent,25.32,5363
2016,"O level, GCSE and equivalent",14.97,3189
2016,Lower level (below CSE grade 1),16.39,3365
2015,Higher education above degree,31.62,6896
2015,Further education below degree,10.34,2325
2015,A level and equivalent,25.32,5552
2015,"O level, GCSE and equivalent",15.82,3490
2015,Lower level (below CSE grade 1),16.9,3629
2014,Higher education above degree,29.66,6777
2014,Further education below degree,10.31,2434
2014,A level and equivalent,26.49,5985
2014,"O level, GCSE and equivalent",16.3,3753
2014,Lower level (below CSE grade 1),17.24,3804
